company_id,recruiter_id,name,description
1,1,Jermain,"Displ seg fx shaft of r femur, subs for clos fx w delay heal"
2,2,Kalie,"Disp fx of r ulna styloid pro, 7thH"
3,3,Kellen,"Toxic effect of unsp substance, undetermined, init encntr"
4,4,Corri,"Disp fx of 1st metatarsal bone, l ft, 7thG"
5,5,Letta,Corrosion of first degree of left ear
6,6,Gerti,Subluxation complex (vertebral) of lumbar region
7,7,Godwin,"Pauciarticular juvenile rheumatoid arthritis, right shoulder"
8,8,Suellen,"Abrasion, unspecified foot"
9,9,Berget,"Insect bite (nonvenomous) of abdominal wall, subs encntr"
10,10,Petrina,"Maternal care for anti-D antibodies, unsp trimester, fetus 4"
11,11,Christy,"Ped on sktbrd injured pick-up truck, pk-up/van, unsp, init"
12,12,Geraldine,Corrosion of third degree of elbow
13,13,Gillie,Kyphosis and lordosis
14,14,Nora,"Oth disrd of amniotic fluid and membrns, third tri, unsp"
15,15,Oswald,"Poisoning by unspecified psychodysleptics, assault"
16,16,Jacqueline,Pinta [carate]
17,17,Emlynne,"Pathological fracture in oth disease, unsp shoulder, init"
18,18,Rollins,"Poisoning by anticoagulants, undetermined, sequela"
19,19,Fenelia,Oth personality & behavrl disord due to known physiol cond
20,20,Ashleigh,"Hit by falling object due to accident to sailboat, init"
