offer_id,company_id,job_title,description,city
1,1,Accountant IV,Oth intraop cardiac functional disturb during oth surgery,Sanghan
2,2,Sales Representative,Malingerer [conscious simulation],Porto-Novo
3,3,Staff Scientist,"Hyphema, unspecified eye",Gyōda
4,4,Associate Professor,"Contus/lac right cerebrum w LOC of 1-5 hrs 59 min, sequela",Penalva
5,5,Structural Analysis Engineer,"Puncture wound with foreign body, right thigh, subs encntr",Berlin
6,6,Web Developer II,"Chalcosis, left eye",Ilare
7,7,Tax Accountant,Other gliding-type pedestrian conveyance accident,San Mateo
8,8,Geological Engineer,"Displ Maisonneuve's fx left leg, subs for clos fx w nonunion",Candijay
9,9,Civil Engineer,"Synovial hypertrophy, NEC, multiple sites",Babao
10,10,Engineer I,Thrombosis due to internal orthopedic prosth dev/grft,Rychvald
11,11,Developer III,"Burn of unspecified degree of unspecified upper arm, sequela",Shishan
12,12,Quality Control Specialist,Self-harm by oth and unsp firearm and gun discharge,Pokachi
13,13,Tax Accountant,Benign neoplasm of unspecified breast,Chulakivka
14,14,General Manager,Legal intervention involving blunt objects,Chumphon
15,15,Community Outreach Specialist,"Tox eff of corrosv acids & acid-like substnc, slf-hrm, init",Tunggaoen Timur
16,16,Staff Accountant II,"Salter-Harris Type II physeal fracture of r calcaneus, 7thD",Mošorin
17,17,Recruiting Manager,"Displ spiral fx shaft of unsp fibula, 7thD",Xiangyun
18,18,Human Resources Assistant II,"Pnctr w/o fb of left lesser toe(s) w/o damage to nail, init",Xiazhai
19,19,Civil Engineer,"Corrosion of unsp degree of unspecified shoulder, sequela",Isfara
20,20,Registered Nurse,"Inj intrns musc/fasc/tend l mid finger at wrs/hnd lv, init",Mayo
